id,name,description
ICT.NTA,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LANs), wide area networks (WANs), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software."
ICT.OWN,Product Owners,Collaborate with the development team to ensure the successful delivery of products. Own the vision and communicate it clearly. Research market trends and develop relationships with stakeholders.
ICT.PEN,Penetration Testers,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.
ICT.PRG,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information."
ICT.REP,Reporting Analysts,"Design and develop metrics, reports, and analyses to drive key business decisions. Extract, analyze, and transform data."
ICT.SLA,Solution Architects,Responsible for coordinating and designing the essential core building blocks that make up a technical solution.
ICT.SMS,Search Marketing Strategists,"Employ search marketing tactics to increase visibility and engagement with content, products, or services on Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization."
ICT.SQA,Software Quality Assurance Engineers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules."
ICT.SSD,Systems Software Developers,"Research, design, develop, and test operating systems-level software, compilers, and network distribution software for medical, industrial, military, communications, aerospace, business, scientific, and general computing applications. Set operational specifications and formulate and analyze software requirements. May design embedded systems software. Apply principles and techniques of computer science, engineering, and mathematical analysis."
ICT.SYS,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex application problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software."
ICT.TAU,Test Automation Engineers,Provide quality assurance for software development and deployment. Develop and implement test automation.
ICT.TCH,ICT Engineering Technicians,"Install, maintain, repair, and operate information systems and any information and communications technology (ICT)-related hardware and software."
ICT.TEL,Telecommunications Analysts,"Review, analyze, and evaluate an organization's telecommunications needs and systems. Provide training on the telecommunications system's features and functionalities."
ICT.TES,Telecommunications Engineering Specialists,"Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Coordinate installation, service, and maintenance."
ICT.TLD,Test Coordinators,"Act as the front runner of the test team and coordinate test activities. Execute tests, mentor colleagues, and participate in project management meetings."
ICT.TSC,Test Coaches,"Influence hiring decisions and support testers to achieve their individual development goals. Ensure distributed ownership of testing and foster a testing community. Act as testing experts, establish a testing improvement focus, and create and deliver testing-related training."
ICT.TST,Software Testers,"Identify, review, and execute test cases, and analyze the test results. Monitor test coverage and evaluate the overall quality of results."
ICT.VGD,Video Game Developers,"Responsible for the creation and production of games for personal computers, game consoles, social/online games, arcade games, tablets, mobile phones, and other handheld devices."
ICT.VRD,Augmented and Virtual Reality Developers,"Develop applications for augmented reality (AR) and virtual reality (VR) hardware devices such as sensing systems, tracking systems, imaging systems, and haptic devices."
ICT.VRM,Vendor Relationship Specialists,Establish and maintain positive business relationships with stakeholders by deploying activities that comply with organizational processes. Manage the outsourcing process for their department and supply chain communications.
ICT.VUI,Video Game Designers,"Design core features of video games. Specify innovative game and role-play mechanics, storylines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed."
ICT.WAD,Web Administrators,"Manage web environment design, deployment, development, and maintenance activities. Perform testing and quality assurance of websites and web applications."
ICT.WBD,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications."
LEG.ALJ,"Administrative Law Judges, Adjudicators, and Hearing Officers","Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements."
LEG.ARB,"Arbitrators, Mediators, and Conciliators",Facilitate negotiation and conflict resolution through dialogue. Resolve conflicts outside of the court system by mutual consent of the parties involved.
LEG.CAP,Specialist Lawyers - Capital Markets,"Conduct due diligence reviews on the issuers of securities, draft the prospectus and other disclosure documents describing the issuers and their securities to potential investors. Negotiate agreements between the issuers and their advisers and navigate the transactions through regulatory hurdles."
LEG.CML,Specialist Lawyers - Commercial Litigation,"Work with businesses to settle a variety of disputes, such as those concerning partnerships and shareholders, sales of merchandise, and licensing. Disputes may be settled in or out of court. Investigate the details of the case, including taking depositions, interviewing witnesses, reviewing documents, and writing briefs."
LEG.CMP,Specialist Lawyers - Competition,"Provide practical advice on mergers, cartels, and exclusive dealing with knowledge of relevant competition and antitrust laws. Manage investigations and inquiries related to competition and regulatory issues, and help develop the legal position or strategy on these regulatory areas."
LEG.CNS,Legal Counsels,"Understand the strategy and objectives of the business and communicate the risks and legal issues involved in any decision to management, enabling informed strategic choices to be made within an acceptable legal risk profile."
LEG.COR,Coroners,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine the cause of death or to fix responsibility for accidental, violent, or unexplained deaths."
LEG.CPR,Specialist Lawyers - Corporate,Ensure a company's transactions comply with corporate laws and regulations. Advise corporations on their legal rights and duties.
LEG.CRM,Specialist Lawyers - Criminal,Defend individuals and companies accused of or charged with criminal activity.
LEG.CRP,Court Reporters and Simultaneous Captioners,"Use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information. Includes stenocaptioners who operate computerized stenographic captioning equipment to provide captions of live or prerecorded broadcasts for hearing-impaired viewers."
LEG.EHS,Specialist Lawyers - Employment and Safety,"Help resolve legal issues between employers and their employees. Handle matters across the employment law spectrum, including drafting and advising on employment agreements and contracts; enterprise bargaining agreements; unfair dismissal proceedings; and unlawful terminations. Manage occupational health, safety, and risk matters, including providing advice in relation to health, safety, and security incidents."
LEG.ENV,Specialist Lawyers - Environment and Planning,"Provide practical and strategic advice on development, compliance, planning appeals, contamination, and compulsory acquisitions to a diverse group of public and private sector clients. Leverage their understanding of environmental regulations to advise clients on a range of issues, from acquiring licenses and permits for business or building projects to meeting environmental due diligence requirements."
LEG.FIN,Specialist Lawyers - Finance,"Handle banking, investment, and contract legal matters. Help clients abide by the intricate legal and regulatory frameworks that govern transactions in both the domestic and global economy. Draft and negotiate contracts that set out the terms of various financial arrangements, oversee compliance issues, and manage financial liabilities."
LEG.ICT,Specialist Lawyers - Technology,"Work to support the legal requirements of technology companies throughout their company lifecycle, from start-ups through to emerging growth and established multinationals. Anticipate legislative and regulatory changes, ensuring legal interests are protected. May have specialized knowledge in areas such as patent licensing, technology financing, or outsourcing."
LEG.INS,Specialist Lawyers - Insurance,"Handle legal matters related to insurance laws and insurance regulations, including disputes arising from the sale, use, and payment of insurance policies. Work with either the customer or the insurer, and investigate claims and policies to determine whether the insurance company is within its rights under the law in denying the claim."
LEG.IP,Specialist Lawyers - Intellectual Property,"Specialists in intellectual property, trademarks, design rights, copyright laws, and patents. Represent creators or companies in the patent application process, assist with patent infringement, and act as litigators to protect their clients' rights to an invention."
LEG.JDG,"Judges, Magistrate Judges, and Magistrates","Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendants in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendants in civil cases. May perform wedding ceremonies."
LEG.JLC,Judicial Law Clerks,Assist judges in court by conducting research or preparing legal documents.
LEG.LAW,Lawyers,"Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law."
LEG.LCA,"Case Administrators, Legal",Supervise the progress of criminal and civil cases from the point of opening to closing. Review case files and case progression to ensure proceedings occur in compliance with legislation. Ensure the proceedings occur in a timely manner and that everything has been concluded before closing cases.
LEG.LGS,Legal Secretaries,"Perform secretarial duties using legal terminology, procedures, and documents. Prepare legal papers and correspondence, such as summonses, complaints, motions, and subpoenas. May also assist with legal research."
LEG.MGR,Legal Service Managers,Oversee the general management of a legal services office and manage a team of legally trained professionals. Maintain efficiency and effectiveness when delivering legal services and advice. Adjust legal services to meet the needs of different client profiles.
LEG.PAR,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action."
LEG.PRJ,Specialist Lawyers - Projects,"Advise on complex building, construction, and infrastructure projects. Draft, negotiate, and review various commercial contracts, identifying and mitigating risk. Manage the legal issues that can arise in relation to defects, delays, variations, and payment issues."
LEG.PUB,Specialist Lawyers - Public Sector,"Act on behalf of, and give legal advice to, government ministers and agencies. Provide legal advice to support the delivery of complex public infrastructure projects, procurements, major privatizations, and government asset sales. Assist with governmental inquiries, disciplinary proceedings involving public bodies, and statutory appeals."
LEG.RIN,Specialist Lawyers - Restructuring and Insolvency,"Specialize in insolvency law. Administer, advise on, or negotiate voluntary arrangements, debt restructuring, repayment schedules, and issues arising from corporate insolvency. May act for debtors in financial distress or their creditors."
LEG.RLE,Specialist Lawyers - Real Estate,"Review, prepare, or negotiate terms and conditions of real estate transactions. Handle purchase agreements, mortgage contracts, or title or deed transfer documents. May represent buyers or sellers in court."
LEG.TAX,Specialist Lawyers - Tax,"Assist clients in navigating the complexities of various tax codes. Specialists in international, federal, and municipal rules and policies pertaining to tax liability and the process of taxation. Monitor legislative developments and provide advice regarding the impact of tax legislation on businesses and individuals."
LEG.TEX,"Title Examiners, Abstractors, and Searchers","Search real estate records, examine titles, or summarize pertinent legal or insurance documents or details for a variety of purposes. May compile lists of mortgages, contracts, and other instruments pertaining to titles by searching public and private records for law firms, real estate agencies, or title insurance companies."
MED.ACU,Acupuncturists,"Diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles. May also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies."
MED.ANA,Anesthesiologist Assistants,Assist anesthesiologists in the administration of anesthesia for surgical and non-surgical procedures. Monitor patient status and provide patient care during surgical procedures.
MED.ANN,Nurse Anesthetists,"Administer anesthesia, monitor patients' vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education."
MED.ANS,Anesthesiologists,"Administer anesthetics and analgesics for pain management prior to, during, or after surgery."
MED.ARN,Arrhythmia Nurses,"Provide information and support to patients with heart rhythm problems. Assess, plan, implement, coordinate, and evaluate patient care, and involve members of multidisciplinary teams in the process."
MED.ART,Art Therapists,"Plan or conduct art therapy sessions or programs to improve clients' physical, cognitive, or emotional well-being."
MED.ASS,Medical Assistants,"Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physicians."
MED.ATR,Athletic Trainers,"Evaluate and treat musculoskeletal injuries or illnesses. Provide preventive, therapeutic, emergency, and rehabilitative care."
MED.AUD,Audiologists,Assess and treat people with hearing and related disorders. May fit hearing aids and provide auditory training. May perform research related to hearing problems.
MED.BKN,Biokineticists,Assist in improving people's physical condition and quality of life by means of physical assessment and the prescription of healthy exercise habits. Determine the physical condition of individuals through various laboratory tests.
MED.CAN,Acute Care Nurses,"Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures."
MED.CCC,Cardiac Clinical Nurse Consultants,"Provide an expert, patient-centered nursing consultancy service to cardiac patients, their caregivers, and other healthcare professionals."
MED.CCN,Critical Care Nurses,Provide specialized nursing care for patients in critical or coronary care units.
MED.CGL,Cytogenetic Technologists,"Analyze chromosomes or chromosome segments found in biological specimens, such as amniotic fluid, bone marrow, solid tumors, and blood to aid in the study, diagnosis, classification, or treatment of inherited or acquired genetic diseases. Conduct analyses through classical cytogenetics, fluorescent in situ hybridization (FISH), or array comparative genome hybridization (aCGH) techniques."
MED.CHR,Chiropractors,"Assess, treat, and care for patients by manipulation of the spine and musculoskeletal system. May provide spinal adjustments or address sacral or pelvic misalignment."
MED.CLL,Medical and Clinical Laboratory Technologists,"Perform complex medical laboratory tests for the diagnosis, treatment, and prevention of disease. May train or coordinate staff."
MED.CLP,Clinical Psychologists,"Diagnose or evaluate mental and emotional disorders of individuals through observation, interviews, and psychological tests, and formulate and administer programs of treatment."
MED.CLT,Medical and Clinical Laboratory Technicians,"Perform routine medical laboratory tests for the diagnosis, treatment, and prevention of disease. May work under the guidance of a medical technologist."
MED.CNC,Cancer Nurse Coordinators,"Coordinate and facilitate individual patient pathways across primary, secondary, and tertiary care interfaces, establishing effective working relationships with members of the multidisciplinary team, patients, their families, and caregivers."
MED.CNS,Clinical Nurse Specialists,"Coordinate nursing staff in the provision of patient care in a clinical practice setting, such as a hospital, hospice, clinic, or home. Ensure adherence to established clinical policies, protocols, regulations, and standards."
MED.COP,Counseling Psychologists,"Assess and evaluate individuals' problems through the use of case history, interview, and observation, and provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment."
MED.CRD,Cardiologists,"Diagnose, treat, manage, and prevent diseases or conditions of the cardiovascular system. May further subspecialize in interventional procedures (e.g., balloon angioplasty and stent placement), echocardiography, or electrophysiology."
MED.CRT,Cardiovascular Technologists and Technicians,"Conduct tests on the pulmonary or cardiovascular systems of patients for diagnostic, therapeutic, or research purposes. May conduct or assist in electrocardiograms, cardiac catheterizations, pulmonary function tests, lung capacity assessments, and similar tests."
MED.CSY,Child and Adolescent Psychiatrists,"Diagnose, treat, and help prevent disorders of the mind, focusing on the mental health of children and adolescents and their families."
MED.CYT,Cytotechnologists,"Stain, mount, and study cells to detect evidence of cancer, hormonal abnormalities, and other pathological conditions following established standards and practices."
MED.DEN,Dentists,"Examine, diagnose, and treat diseases, injuries, and malformations of the teeth and gums. May treat diseases of the nerve, pulp, and other dental tissues affecting oral hygiene and retention of teeth. May fit dental appliances or provide preventive care."
MED.DMS,Diagnostic Medical Sonographers,Produce ultrasonic recordings of internal organs for use by physicians. Includes vascular technologists.
MED.DNA,Dental Assistants,"Perform limited clinical duties under the direction of a dentist. Clinical duties may include equipment preparation and sterilization, preparing patients for treatment, assisting the dentist during treatment, and providing patients with instructions for oral healthcare procedures. May perform administrative duties such as scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes."
MED.DNH,Dental Hygienists,Administer oral hygiene care to patients. Assess patients' oral hygiene problems or needs and maintain health records. Advise patients on oral health maintenance and disease prevention. May provide advanced care such as fluoride treatments or administering topical anesthesia.
MED.DOP,"Opticians, Dispensing","Design, measure, fit, and adapt lenses and frames for clients according to written optical prescriptions or specifications. Assist clients with inserting, removing, and caring for contact lenses. Assist clients with selecting frames. Measure customers for size of eyeglasses and coordinate frames with facial and eye measurements and optical prescriptions. Prepare work orders for optical laboratories containing instructions for grinding and mounting lenses in frames. Verify exactness of finished lens spectacles. Adjust frame and lens position to fit clients. May shape or reshape frames. Includes contact lens opticians."
MED.DOS,Medical Dosimetrists,"Generate radiation treatment plans, develop radiation dose calculations, communicate and coordinate the treatment plan implementation, and consult with members of the radiation oncology team."
MED.DRM,Dermatologists,"Diagnose and treat diseases related to the skin, hair, and nails. May perform both medical and dermatological surgical functions."
MED.DTT,Dietetic Technicians,"Assist in the provision of food service and nutrition programs under the supervision of a dietitian. May plan and produce meals based on established guidelines, teach principles of food and nutrition, or counsel individuals."
MED.EMP,Emergency Medicine Physicians,"Make immediate medical decisions and act to prevent death or further disability. Provide immediate recognition, evaluation, care, stabilization, and disposition of patients. May coordinate emergency medical staff in an emergency department."
MED.EMT,Emergency Medical Technicians,Assess injuries and illnesses and administer basic emergency medical care. May transport injured or sick persons to medical facilities.
MED.ENN,Endoscopy Nurses,"Work within the endoscopy unit of a hospital or other medical institution to assist with procedures, including endoscopies. Responsible for the provision of person-centered, evidence-based nursing care that promotes positive health outcomes."
MED.ENT,Endoscopy Technicians,Maintain a sterile field to provide support for physicians and nurses during endoscopy procedures. Prepare and maintain instruments and equipment. May obtain specimens.
MED.EQP,Medical Equipment Preparers,"Prepare, sterilize, install, or clean laboratory or healthcare equipment. May perform routine laboratory tasks and operate or inspect equipment."
MED.EXP,Exercise Physiologists,"Assess, plan, or implement fitness programs that include exercise or physical activities such as those designed to improve cardiorespiratory function, body composition, muscular strength, muscular endurance, or flexibility."
MED.FPS,Forensic Psychologists,"Study the behavior of criminals and address a range of issues, from psychological theories to legal matters. Conduct screenings or assessments of prisoners, investigate psychological disorders among criminal and civil court defendants, and examine the mental state of criminals and offenders to determine if they are able to stand trial."
MED.GER,Geriatricians,"Provide medical care to the elderly and have expertise in dealing with people with multiple conditions. Address patients' medical problems, including chronic illnesses, and focus on quality of life and functional ability."
MED.GIN,General Internal Medicine Physicians,"Diagnose and provide nonsurgical treatment for a wide range of diseases and injuries of internal organ systems. Provide care mainly for adults and adolescents, and are based primarily in outpatient care settings."
MED.GNC,Genetic Counselors,"Assess individual or family risk for a variety of inherited conditions, such as genetic disorders and birth defects. Provide information to other healthcare providers or to individuals and families concerned with the risk of inherited conditions. Advise individuals and families to support informed decision-making and coping methods for those at risk. May help conduct research related to genetic conditions or genetic counseling."
MED.GP,Family and General Practitioners,"Diagnose, treat, and provide preventive care to individuals and families across the lifespan. May refer patients to specialists when needed for further diagnosis or treatment."
MED.HAS,Hearing Aid Specialists,"Select and fit hearing aids for customers. Administer and interpret hearing tests. Assess hearing instrument efficacy. Take ear impressions and prepare, design, and modify ear molds."
MED.HEM,Hematologists,"Provide treatment for blood disorders and malignancies, including types of hemophilia, leukemia, lymphoma, and sickle-cell anemia."
MED.HHA,Home Health Aides,"Monitor the health status of individuals with disabilities or illnesses, and address their health-related needs, such as changing bandages, dressing wounds, or administering medication. Work is performed under the direction of offsite or intermittent onsite licensed nursing staff. Provide assistance with routine healthcare tasks or activities of daily living, such as feeding, bathing, toileting, or ambulation. May also help with tasks such as preparing meals, doing light housekeeping, and doing laundry depending on the patient's abilities."
MED.HIS,Health Informatics Specialists,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem-solving to promote the implementation of the health care system."
MED.HIT,Histotechnologists and Histologic Technicians,Prepare histologic slides from tissue sections for microscopic examination and diagnosis by pathologists. May assist in research studies.
MED.HSP,Hospitalists,"Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment."
MED.HSS,Occupational Health and Safety Specialists,"Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector."
MED.HST,Occupational Health and Safety Technicians,"Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluations of programs designed to limit chemical, physical, biological, and ergonomic risks to workers."
MED.IMM,Allergists and Immunologists,"Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system."
MED.IOP,Industrial-Organizational Psychologists,"Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing, selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity."
MED.IPH,Industrial Pharmacists,"Research and develop medications, perform quality control tests, and ensure that medications comply with regulations."
MED.LVN,Licensed Practical and Licensed Vocational Nurses,"Care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions. May work under the supervision of a registered nurse. Licensure required."
MED.MAS,Physician Assistants,"Provide healthcare services typically performed by physicians, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants."
MED.MCRS,Clinical Research Managers,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data."
MED.MDN,Nurse Midwives,"Diagnose and coordinate all aspects of the birthing process, either independently or as part of a healthcare team. May provide well-woman gynecological care. Must have specialized graduate nursing education."
MED.MMHS,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations."
MED.MNRS,Nurse Managers,"Plan, direct, or coordinate nursing services in organizations such as hospitals, clinics, managed care organizations, and public health agencies."
MED.MPHM,Pharmacy Managers,Oversee day-to-day pharmacy operations and manage all staff in the pharmacy department.
MED.MRL,Magnetic Resonance Imaging Technologists,"Operate Magnetic Resonance Imaging (MRI) scanners. Monitor patient safety and comfort, and view images of the area being scanned to ensure the quality of pictures. May administer gadolinium contrast dosage intravenously. May interview patients, explain MRI procedures, and position patients on the examining table. May enter data into the computer, such as patient history, anatomical area to be scanned, orientation specified, and position of entry."
MED.MSG,Massage Therapists,"Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength, or propose client therapy plans."
MED.MTH,Music Therapists,"Plan, organize, coordinate, or assess clinical and evidence-based music therapy interventions to positively influence individuals' physical, psychological, cognitive, or behavioral status."
MED.MXF,Oral and Maxillofacial Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the oral and maxillofacial regions to treat diseases, injuries, or defects. May diagnose problems of the oral and maxillofacial regions. May perform surgery to improve function or appearance."
MED.NAS,Nursing Assistants,"Provide or assist with basic care or support under the direction of onsite licensed nursing staff. Perform duties such as monitoring health status, feeding, bathing, dressing, grooming, toileting, or ambulating patients in a health or nursing facility. May include medication administration and other health-related tasks. Includes nursing care attendants, nursing aides, and nursing attendants."
MED.NAT,Naturopathic Physicians,"Diagnose, treat, and help prevent diseases using a system of practice that is based on the natural healing capacity of individuals. May use physiological, psychological, or mechanical methods. May also use natural medicines, prescription or legend drugs, foods, herbs, or other natural remedies."
MED.NEO,Neonatologists,"Provide medical care for newborn infants, especially ill or premature newborns."
MED.NEU,Neurologists,"Diagnose, manage, and treat disorders and diseases of the brain, spinal cord, and peripheral nerves, with a primarily nonsurgical focus."
MED.NML,Nuclear Medicine Technologists,"Prepare, administer, and measure radioactive isotopes in therapeutic, diagnostic, and tracer studies using a variety of radioisotope equipment. Prepare stock solutions of radioactive materials and calculate doses to be administered by radiologists. Subject patients to radiation. Execute blood volume, red cell survival, and fat absorption studies following standard laboratory techniques."
MED.NMP,Nuclear Medicine Physicians,"Diagnose and treat diseases using radioactive materials and techniques. May monitor radionuclide preparation, administration, and disposition."
MED.NPH,Nephrologists,"Establish plans of care for kidney patients. Coordinate care with physicians treating other conditions, such as high blood pressure, diabetes, or anemia, that contribute to or result from kidney disease."
MED.NPS,Neuropsychologists and Clinical Neuropsychologists,Apply theories and principles of neuropsychology to diagnose and treat disorders of higher cerebral functioning.
MED.NRL,Neurodiagnostic Technologists,"Conduct electroneurodiagnostic (END) tests such as electroencephalograms, evoked potentials, polysomnograms, or electronystagmograms. May perform nerve conduction studies."
MED.NUT,Dietitians and Nutritionists,"Plan and conduct food service or nutrition programs to assist in the promotion of health and control of disease. May coordinate activities of a department providing quantity food services, counsel individuals, or conduct nutrition research."
MED.OBG,Obstetricians and Gynecologists,"Provide medical care related to pregnancy or childbirth. Diagnose, treat, and help prevent diseases of women, particularly those affecting the reproductive system. May also provide general care to women. May perform both medical and gynecological surgical functions."
MED.OHN,Occupational Health Nurses,"Provide health services and programs to employees on company premises. Perform basic medical care functions and medical screening examinations, and provide emergency care and referrals. Assess workplace factors that can cause sickness and implement and administer healthcare programs that enhance employees' wellness through disease and accident prevention. Manage a medical recordkeeping system, including employee health records and medical leaves of absence, and ensure confidentiality of this data."
MED.OHP,Occupational Health Physicians,"Diagnose and treat work-related illnesses and injuries and conduct fitness-for-duty physical examinations. Manage employee-oriented medical activities by conducting pre-employment physicals and check-ups, treating work-related illnesses, and providing medical and surgical care in cases of industrial accidents or diseases. May recommend medical and health policies to avoid injury and disease."
MED.OML,Ophthalmic Medical Technologists,"Assist ophthalmologists by performing ophthalmic clinical functions and ophthalmic photography. Provide instruction and supervision to other ophthalmic personnel. Assist with minor surgical procedures, applying aseptic techniques and preparing instruments. May perform eye exams, administer eye medications, and instruct patients in the care and use of corrective lenses."
MED.OMT,Ophthalmic Medical Technicians,"Assist ophthalmologists by performing ophthalmic clinical functions. May administer eye exams, administer eye medications, and instruct patients in the care and use of corrective lenses."
MED.ONC,Oncologists,Diagnose and treat different forms of cancer. Prescribe and administer chemotherapy-based treatment plans for patients.
MED.OPH,Ophthalmologists,"Diagnose and perform surgery to treat and help prevent disorders and diseases of the eye. May also provide vision services for treatment, including prescribing glasses and contact lenses."
MED.OPR,Orthotists and Prosthetists,"Design, measure, fit, and adapt orthopedic braces, appliances, or prostheses, such as limbs or facial parts, for patients with disabling conditions."
MED.OPT,Optometrists,"Diagnose, manage, and treat conditions and diseases of the human eye and visual system. Examine eyes and the visual system, diagnose problems or impairments, prescribe corrective lenses, and provide treatment. May prescribe therapeutic drugs to treat specific eye conditions."
MED.ORD,Orderlies,"Transport patients to areas such as operating rooms or X-ray rooms using wheelchairs, stretchers, or movable beds. May maintain stocks of supplies or clean and transport equipment. Psychiatric orderlies are included in Psychiatric Aides."
MED.ORP,Orthoptists,"Diagnose and treat visual system disorders, such as binocular vision and eye movement impairments."
MED.ORS,Orthopedic Surgeons,Diagnose and perform surgery to treat and prevent rheumatic and other diseases of the musculoskeletal system.
MED.ORT,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity anomalies. Design and fabricate appliances to realign teeth and jaws to produce and maintain normal function and improve appearance."
MED.OST,Osteopaths,"Provide therapeutic treatment of disorders in the musculoskeletal system to patients with physical issues such as back pain, joint pain, and digestive disorders. Use manipulation of body tissues, touch, stretching, and massage techniques to relieve pain and promote a healthy lifestyle."
MED.OTH,Occupational Therapists,"Assess, plan, and organize rehabilitative programs that help build or restore vocational, homemaking, and daily living skills, as well as general independence, for persons with disabilities or developmental delays. Use therapeutic techniques, adapt the individual's environment, teach skills, and modify specific tasks that present barriers to the individual."
MED.OTO,Otolaryngologists,"Treat diseases, injuries, and deformities of the ear, nose, and throat with invasive, minimally invasive, or noninvasive surgical methods, such as using instruments or appliances or by manual manipulation."
MED.PAI,Psychiatric Aides,"Assist mentally impaired or emotionally disturbed patients, working under the direction of nursing and medical staff. May assist with daily living activities, lead patients in educational and recreational activities, or accompany patients to and from examinations and treatments. May restrain violent patients. Includes psychiatric orderlies."
MED.PAL,Specialist Palliative Medicine Physicians,"Collaborate with a multidisciplinary team of healthcare professionals to provide end-of-life care, provide relief from pain and symptoms of illness, and optimize the quality of life for patients."
MED.PAM,Specialist Pain Medicine Physicians,"Treat patients who experience pain related to a specific cause, such as cancer, injury, or postoperative conditions, as well as patients who suffer pain as a primary condition. Diagnose conditions, provide treatments such as medication and rehabilitation services, perform procedures to relieve pain, and counsel patients and their families."
MED.PAR,Paramedics,"Administer basic or advanced emergency medical care and assess injuries and illnesses. May administer medication intravenously, use equipment such as EKGs, or administer advanced life support to sick or injured individuals."
MED.PDS,Pediatric Surgeons,"Diagnose and perform surgery to treat fetal abnormalities and birth defects, diseases, and injuries in fetuses, premature and newborn infants, children, and adolescents. Includes all pediatric surgical specialties and subspecialties."
MED.PED,Pediatricians,"Physicians who diagnose, treat, and help prevent children's diseases and injuries."
MED.PGH,Pediatric Gastroenterologists and Hepatologists,"Treat children with digestive, liver, or nutritional problems. Treat and manage disorders of the liver, biliary tree, gallbladder, and pancreas."
MED.PHA,Pharmacy Aides,"Record drugs delivered to the pharmacy, store incoming merchandise, and inform the supervisor of stock needs. May operate cash registers and accept prescriptions for filling."
